순번,영화명,관객수
396 ,우아한 세계,"351,965 "
397 ,내사랑 싸가지,"351,500 "
398 ,비트,"349,781 "
399 ,유령,"347,965 "
400 ,B형 남자친구,"347,896 "
401 ,중독,"346,453 "
402 ,동감,"346,279 "
403 ,누구나 비밀은 있다,"346,150 "
404 ,브이아이피,"345,963 "
405 ,마누라 죽이기,"344,900 "
406 ,고死 : 피의 중간고사,"344,864 "
407 ,조용한 가족,"343,946 "
408 ,보스 상륙 작전(Boss X File),"343,256 "
409 ,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,"341,000 "
410 ,조폭마누라3,"339,549 "
411 ,수상한 고객들,"339,494 "
412 ,6년째 연애중,"338,423 "
413 ,그때 그 사람들,"338,025 "
414 ,탐정 홍길동: 사라진 마을,"336,208 "
415 ,시크릿,"335,889 "
416 ,백야행,"334,942 "
417 ,가위,"334,364 "
418 ,용서는 없다,"332,736 "
419 ,링,"332,354 "
420 ,슈퍼스타 감사용,"330,396 "
421 ,영어완전정복,"330,121 "
422 ,태양은 없다,"329,778 "
423 ,짝패,"328,733 "
424 ,"달마야, 서울 가자","327,000 "
425 ,간첩,"326,457 "
426 ,이장과 군수,"326,034 "
427 ,시간이탈자,"325,133 "
428 ,런닝맨,"324,400 "
429 ,고령화 가족,"324,221 "
430 ,남부군,"324,169 "
431 ,마파도2,"323,905 "
432 ,새드무비,"323,757 "
433 ,회사원,"323,549 "
434 ,남극일기,"323,335 "
435 ,두근두근 내 인생,"322,968 "
436 ,미스터 고,"321,292 "
437 ,테러리스트,"320,919 "
438 ,"당신, 거기 있어줄래요","319,506 "
439 ,베스트셀러,"317,714 "
440 ,용가리,"317,306 "
441 ,못말리는 결혼,"316,081 "
442 ,애마부인,"315,738 "
443 ,골든슬럼버,"315,506 "
444 ,신부수업,"314,772 "
445 ,야수,"314,482 "
446 ,파괴된 사나이,"314,477 "
447 ,더 웹툰: 예고살인,"314,005 "
448 ,간기남,"313,190 "
449 ,추락하는 것은 날개가 있다,"312,684 "
450 ,유감스러운 도시,"311,803 "
451 ,할렐루야,"310,920 "
452 ,데이지,"309,926 "
453 ,사라진 밤,"309,566 "
454 ,궁합,"309,094 "
455 ,미스터 소크라테스,"309,053 "
456 ,미씽: 사라진 여자,"307,997 "
457 ,만추,"306,882 "
458 ,악녀,"304,997 "
459 ,정사,"304,666 "
460 ,거짓말,"303,681 "
461 ,육혈포 강도단,"302,702 "
462 ,오로라 공주,"302,070 "
463 ,분신사바,"301,322 "
464 ,최강로맨스,"301,235 "
465 ,자카르타,"299,824 "
466 ,여선생 VS 여제자,"299,813 "
467 ,크로싱,"299,446 "
468 ,특수본,"299,090 "
469 ,나쁜 남자,"298,926 "
470 ,창궐,"298,840 "
471 ,속 별들의 고향,"298,125 "
472 ,넘버 3,"297,617 "
473 ,심장이 뛴다,"293,832 "
474 ,하루,"293,530 "
475 ,낭만자객,"292,190 "
476 ,처녀들의 저녁식사,"290,502 "
477 ,박하사탕,"290,352 "
478 ,간신,"289,236 "
479 ,파송송 계란탁,"289,039 "
480 ,령,"288,631 "
481 ,자유부인 '81,"287,929 "
482 ,이장호의 외인구단,"287,712 "
483 ,외출,"287,650 "
484 ,부라더,"287,039 "
485 ,슬로우 비디오,"286,952 "
486 ,만남의 광장,"286,843 "
487 ,정글쥬스,"286,270 "
488 ,장수상회,"284,742 "
489 ,GP 506,"284,443 "
490 ,해빙,"284,100 "
491 ,차형사,"283,739 "
492 ,불어라 봄바람,"281,911 "
493 ,O양의 아파트,"281,726 "
494 ,나도 아내가 있었으면 좋겠다,"280,852 "
495 ,오! 해피데이,"280,523 "
496 ,빅매치,"280,152 "
497 ,바보,"279,453 "
498 ,예의없는 것들,"278,757 "
499 ,국화꽃 향기,"278,464 "
500 ,깡철이,"274,966 "
