순번,영화명,관객수
344,몽정기,"763,190"
345,본 얼티메이텀,"762,025"
346,화차,"760,953"
347,이상한 나라의 앨리스,"760,628"
348,그것만이 내 세상,"759,455"
349,아라한 장풍대작전,"756,000"
350,폰,"755,437"
351,드래곤 길들이기 2,"751,931"
352,귀신이 산다,"751,340"
353,보디가드,"747,238"
354,스타워즈:에피소드1 보이지 않는 위험 ,"746,654"
355,브레이킹 던 part2,"745,970"
356,적벽대전 2 : 최후의 결전,"743,318"
357,박쥐,"741,819"
358,작업의 정석,"741,455"
359,첫사랑 사수 궐기 대회,"741,029"
360,하녀,"740,713"
361,스물,"740,243"
362,셜록 홈즈,"739,965"
363,캐리비안의 해적 : 블랙펄의 저주,"738,275"
364,미스 페레그린과 이상한 아이들의 집,"737,280"
365,블라인드,"736,580"
366,스파이,"733,029"
367,맘마미아!2,"732,550"
368,캐스트 어웨이,"732,404"
369,마녀,"732,155"
370,"색, 계","731,668"
371,타잔,"726,542"
372,편지,"724,747"
373,도리를 찾아서,"724,706"
374,캐치 미 이프 유 캔,"724,331"
375,슈퍼배드 3,"723,552"
376,맨 오브 스틸,"720,823"
377,의뢰인,"719,601"
378,하모니,"718,993"
379,극비수사,"717,981"
380,비천무,"717,659"
381,007 퀀텀 오브 솔러스,"717,142"
382,후궁 : 제왕의 첩,"716,851"
383,쩨쩨한 로맨스,"716,536"
384,페이스오프,"716,107"
385,시카고,"715,000"
386,"나니아 연대기-사자,마녀 그리고 옷장","714,948"
387,디 아더스,"714,730"
388,황해,"714,591"
389,세븐 데이즈,"713,941"
390,미인도,"709,649"
391,포레스트 검프,"705,143"
392,약속,"704,600"
393,정글북,"702,113"
394,우리 형,"699,725"
395,엑스맨 : 최후의 전쟁,"699,530"
396,메이즈 러너: 스코치 트라이얼,"697,898"
397,화이: 괴물을 삼킨 아이,"697,799"
398,콘스탄틴,"697,500"
399,1번가의 기적,"697,439"
400,이웃사람,"697,152"
401,이글 아이,"695,165"
402,테이큰 2,"692,896"
403,연애의 목적,"692,475"
404,댄서의 순정,"692,461"
405,퀵,"692,405"
406,위대한 유산,"691,839"
407,라디오 스타,"691,408"
408,텔미썸딩,"685,935"
409,나를 찾아줘,"681,067"
410,탐정: 리턴즈,"680,077"
411,프리즌,"679,455"
412,장군의 아들,"678,946"
413,타워링,"678,233"
414,블랙 스완,"677,998"
415,아수라,"676,676"
416,친구 2,"675,887"
417,형,"675,698"
418,접속,"674,933"
419,바르게 살자,"672,381"
420,닥터 지바고,"671,041"
421,브리짓 존스의 일기2 : 열정과 애정,"670,406"
422,너의 결혼식,"666,855"
423,인정사정 볼 것 없다,"664,861"
424,악마는 프라다를 입는다,"664,697"
425,토이 스토리 2,"664,180"
426,배트맨 대 슈퍼맨: 저스티스의 시작,"663,637"
427,에어 포스 원,"663,415"
428,맨인블랙 ,"662,106"
429,효자동 이발사,"661,957"
430,내 여자친구를 소개합니다,"659,380"
431,마이펫의 이중생활,"656,542"
432,로건,"655,286"
433,다이너소어,"654,446"
434,천사와 악마,"653,372"
435,지금 만나러 갑니다,"652,981"
436,표적,"652,750"
437,스타워즈 에피소드3 - 시스의복수,"651,210"
438,다이 하드 2,"651,009"
439,벤자민 버튼의 시간은 거꾸로 간다,"649,782"
440,이클립스,"648,625"
441,스파이,"648,385"
442,극락도 살인사건,"647,717"
443,알라딘,"647,266"
444,수퍼맨 리턴즈,"646,008"
445,러브레터,"645,615"
446,미녀삼총사 : 맥시멈 스피드,"645,472"
447,살인자의 기억법,"643,595"
448,연애의 온도,"642,588"
449,원더 우먼,"639,541"
450,람보 2,"639,098"
451,감기,"638,882"
452,딥 임팩트,"637,387"
453,바람난 가족,"636,735"
454,뉴 문,"636,212"
455,투캅스 2,"636,047"
456,사생결단,"635,987"
457,위플래쉬,"635,871"
458,바람의 파이터,"634,897"
459,비열한 거리,"633,783"
460,라스트 갓파더,"633,176"
461,라이프 오브 파이,"631,357"
462,대부,"631,242"
463,미니언즈,"630,536"
464,겟 아웃,"630,367"
465,위대한 개츠비,"625,029"
466,초능력자,"623,616"
467,박열,"623,230"
468,미션 임파서블 ,"622,237"
469,여고괴담,"621,032"
470,니모를 찾아서,"620,593"
471,이티,"618,256"
472,아내가 결혼했다,"617,538"
473,단적비연수,"616,349"
474,이집트 왕자,"613,973"
475,레버넌트: 죽음에서 돌아온 자,"613,536"
