순번,영화명,관객수
263 ,루시,"586,398 "
264 ,"아이, 로봇","586,098 "
265 ,예스맨,"585,717 "
266 ,브루스 올마이티,"583,395 "
267 ,보스 베이비,"582,820 "
268 ,메이즈 러너: 데스 큐어,"582,686 "
269 ,터미널,"581,792 "
270 ,나쁜 녀석들 II,"581,783 "
271 ,오션스 써틴,"581,467 "
272 ,엑스맨 2,"579,460 "
273 ,사형도수,"576,953 "
274 ,플래툰,"576,924 "
275 ,모아나,"572,295 "
276 ,에일리언 4,"571,751 "
277 ,이미테이션 게임,"569,958 "
278 ,마다가스카,"565,676 "
279 ,사관과 신사,"563,533 "
280 ,챔프,"559,691 "
281 ,007 언리미티드,"558,233 "
282 ,스타트렉 다크니스,"557,358 "
283 ,007 네버세이 네버어게인,"555,627 "
284 ,깊은밤 깊은 곳에,"552,908 "
285 ,007 스펙터,"548,085 "
286 ,바람과 함께 사라지다,"547,698 "
287 ,마지막 보이스카웃,"547,281 "
288 ,스타워즈 에피소드 2 : 클론의 습격,"546,200 "
289 ,007 나를 사랑한 스파이,"545,583 "
290 ,쥬만지 ,"540,402 "
291 ,작전명 발키리,"539,828 "
292 ,혹성탈출: 종의 전쟁,"538,479 "
293 ,점퍼,"535,228 "
294 ,박물관이 살아있다 2,"533,642 "
295 ,몬스터 주식회사,"533,244 "
296 ,물랑루즈,"530,812 "
297 ,알렉산더,"530,331 "
298 ,미녀삼총사,"526,617 "
299 ,미션,"525,630 "
300 ,A.I.,"525,490 "
301 ,지.아이.조 2,"525,451 "
302 ,찰리와 초콜릿 공장,"525,395 "
303 ,저스티스 리그,"524,158 "
304 ,내셔널 트레져:비밀의 책,"522,043 "
305 ,수어사이드 스쿼드,"521,174 "
306 ,토르: 천둥의 신,"519,905 "
307 ,반 헬싱,"519,558 "
308 ,쥬라기 공원 3,"518,684 "
309 ,연인,"518,391 "
310 ,이레이저 ,"516,721 "
311 ,그 여자 작사 그 남자 작곡,"513,676 "
312 ,토이 스토리 3,"511,917 "
313 ,퍼시 잭슨과 번개 도둑,"508,812 "
314 ,랜섬 ,"508,244 "
315 ,분노의 질주: 언리미티드,"504,937 "
316 ,적벽대전:거대한 전쟁의 시작,"502,882 "
317 ,세익스피어 인 러브,"502,079 "
318 ,브레이브 하트 ,"500,798 "
319 ,007 유어 아이스 온리,"500,243 "
320 ,오션스8,"496,739 "
321 ,섹스 앤 더 시티,"495,297 "
322 ,로빈 후드,"492,605 "
323 ,인크레더블,"492,585 "
324 ,로미오와 줄리엣,"491,435 "
325 ,인디아나 존스 : 최후의 성전,"491,010 "
326 ,분노의 질주: 더 맥시멈,"490,893 "
327 ,23 아이덴티티,"490,806 "
328 ,트와일라잇,"490,035 "
329 ,킬러의 보디가드,"488,376 "
330 ,테이큰 3,"487,343 "
331 ,나비효과,"487,040 "
332 ,툼레이더,"485,381 "
333 ,오블리비언,"484,314 "
334 ,슬럼독 밀리어네어,"483,793 "
335 ,트리플 엑스,"483,302 "
336 ,킹덤 오브 헤븐,"482,917 "
337 ,월ㆍE,"482,446 "
338 ,300: 제국의 부활,"481,429 "
339 ,그레이트 후라이데이,"480,490 "
340 ,007 제18편 : 네버 다이,"479,621 "
341 ,라스트 사무라이,"478,000 "
342 ,해리슨 포드의 도망자,"477,814 "
343 ,피아노,"475,870 "
344 ,아마데우스 ,"475,755 "
345 ,의적 로빈후드,"475,528 "
346 ,복서,"473,919 "
347 ,인투 더 스톰,"472,848 "
348 ,애나벨 : 인형의 주인,"472,569 "
349 ,벼랑 위의 포뇨,"472,286 "
350 ,호빗: 스마우그의 폐허,"471,461 "
351 ,소스 코드,"469,899 "
352 ,미세스 다웃파이어 ,"468,229 "
353 ,왓 위민 원트,"466,303 "
354 ,엑스맨,"463,371 "
355 ,스타게이트 ,"461,093 "
356 ,가디언즈 오브 갤럭시,"460,828 "
357 ,십계,"460,362 "
358 ,다이 하드,"459,413 "
359 ,페세이지,"459,400 "
360 ,로보캅,"459,289 "
361 ,이프 온리,"454,606 "
362 ,지구가 멈추는 날,"453,854 "
363 ,컨저링 2,"453,800 "
364 ,브레이킹 던 part1,"452,507 "
365 ,엑소더스: 신들과 왕들,"451,543 "
366 ,쿼바디스,"448,533 "
367 ,제리 맥과이어,"448,393 "
368 ,마다가스카3 : 이번엔 서커스다!,"447,184 "
369 ,리쎌웨폰 4 ,"446,851 "
370 ,그는 당신에게 반하지 않았다,"446,348 "
371 ,내츄럴,"445,921 "
372 ,내셔널 트레져,"445,917 "
373 ,젠틀맨 리그,"445,810 "
374 ,그랜드 부다페스트 호텔,"444,985 "
375 ,인어공주 ,"442,883 "
376 ,나 홀로 집에 2,"442,144 "
377 ,치킨 런,"442,060 "
378 ,트위스터 ,"442,048 "
379 ,걸리버 여행기,"442,035 "
380 ,식스티 세컨즈,"439,847 "
381 ,컬러 오브 나이트,"439,391 "
382 ,신들의 전쟁,"437,778 "
383 ,엔드 오브 데이즈,"437,292 "
384 ,신밧드:7대양의 전설,"437,034 "
385 ,사제출마,"436,631 "
386 ,소권괴초,"436,545 "
